Order_ID,Order_Create_Date,Order_Pickup_Date,Order_Pickup_Store,Pickup_Store_Name,Pickup_Store_Address,Pickup_Store_Phone,Pickup_Store_City,Pickup_Store_State_Name,Order_Return_Date,Order_Return_Store,Return_Store_Name,Return_Store_Address,Return_Store_Phone,Return_Store_City,Return_Store_State,Customer_ID,Customer_Name,Customer_Phone,Customer_Address,Customer_Birthday,Customer_Occupation,Customer_Gender,Car_ID,Car_MakeName,Car_Model,Car_Series,Car_SeriesYear,Car_PriceNew,Car_EngineSize,Car_FuelSystem,Car_TankCapacity,Car_Power,Car_SeatingCapacity,Car_StandardTransmission,Car_BodyType,Car_Drive,Car_Wheelbase
16,15/07/2005,15/07/2005,15,Silverwater_Store,9011 Tank Drive,431-535-0156,Silverwater ,New South Wales,24/07/2005,15,Silverwater_Store,9011 Tank Drive,431-535-0156,Silverwater ,New South Wales,11056,Michele N,543-535-017,,13/04/1957,Labour,M,14815,LAND ROVER,(4x4),SWB,1978.0,9045.0,2.3L,DIESEL,45L,46Kw,8.0,4M4x4,2D HARDTOP,4WD,2230mm
18,16/07/2005,16/07/2005,29,Findon_Store,9111 Rose Ann Ave,543-535-0116,Findon,South Australia,17/08/2005,29,Findon_Store,9111 Rose Ann Ave,543-535-0116,Findon,South Australia,11052,Heidi L,543-535-016,,17/08/1955,Labour,F,14816,LAND ROVER,DISCOVERY,SERIES II S 4x4,2003.0,55450.0,4.0L,MULTI POINT F/INJ,93L,136Kw,7.0,4A,4D WAGON,4WD,2540mm
19,18/07/2005,18/07/2005,18,Sydney_Store,7330 Saddlehill Lane,543-535-0195,Sydney,New South Wales,23/07/2005,18,Sydney_Store,7330 Saddlehill Lane,543-535-0195,Sydney,New South Wales,11055,Gilbert R,543-535-012,,15/03/1956,Labour,F,14818,LAND ROVER,DISCOVERY,S 4x4,1998.0,39990.0,2.5L,DIESEL TURBO,88.5L,83Kw,5.0,5M4x4,4D WAGON,4WD,2540mm
20,19/07/2005,20/07/2005,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,10/08/2005,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,11017,Shannon W,543-535-019,,26/06/1948,Labour,M,14819,LAND ROVER,(4x4),LWB,1972.0,5203.0,2.3L,DIESEL,73L,46Kw,12.0,4M4x4,2D HARDTOP,4WD,2768mm
22,20/07/2005,23/07/2005,15,Silverwater_Store,9011 Tank Drive,431-535-0156,Silverwater ,New South Wales,04/08/2005,35,Melbourne_Store,5167 Condor Place,543-535-0136,Melbourne ,Victoria,11052,Heidi L,543-535-016,,17/08/1955,Labour,F,14835,BMW,7,35i EXECUTIVE,1987.0,136500.0,3.4L,ELECTRONIC F/INJ,90L,155Kw,5.0,4A,4D SEDAN,RWD,2833mm
23,22/07/2005,22/07/2005,17,St. Leonards_Store,9666 Northridge Ct.,135-535-0171,St. Leonards,New South Wales,08/08/2005,39,Sunbury_Store,8357 Sandy Cove Lane,543-535-0114,Sunbury ,Victoria,11018,Clarence R,543-535-013,,19/10/1948,Labour,F,14839,BMW,3,E36 16i OPEN AIR,1995.0,46200.0,1.6L,MULTI POINT F/INJ,52L,75Kw,5.0,5M,3D HATCHBACK,RWD,2700mm
24,23/07/2005,23/07/2005,15,Silverwater_Store,9011 Tank Drive,431-535-0156,Silverwater ,New South Wales,07/08/2005,25,Hervey Bay_Store,8734 Oxford Place,746-535-0186,Hervey Bay,Queensland,11015,Chloe Y,208-535-014,,27/02/1983,Labour,F,14838,BMW,5,E34 25i EXECUTIVE,1996.0,98200.0,2.5L,ELECTRONIC F/INJ,80L,141Kw,5.0,5A,4D SEDAN,RWD,2761mm
25,24/07/2005,27/07/2005,19,Wollongong_Store,244 Rivewview,543-535-0137,Wollongong,New South Wales,12/08/2005,19,Wollongong_Store,244 Rivewview,543-535-0137,Wollongong,New South Wales,11018,Clarence R,543-535-013,,19/10/1948,Labour,F,14843,BMW,3,E46 30i,2001.0,90700.0,3.0L,MULTI POINT F/INJ,63L,170Kw,5.0,5AS,4D SEDAN,RWD,2725mm
26,25/07/2005,25/07/2005,25,Hervey Bay_Store,8734 Oxford Place,746-535-0186,Hervey Bay,Queensland,14/08/2005,5,Lane Cove_Store,7553 Harness Circle,543-535-0131,Lane Cove ,New South Wales,11016,Wyatt H,135-535-017,,07/04/1983,Labour,M,14850,BMW,7,35i,1984.0,59500.0,3.2L,ELECTRONIC F/INJ,100L,145Kw,5.0,4A,4D SEDAN,RWD,2795mm
27,26/07/2005,29/07/2005,21,Caloundra_Store,7156 Rose Dr.,550-535-0163,Caloundra ,Queensland,14/08/2005,21,Caloundra_Store,7156 Rose Dr.,550-535-0163,Caloundra ,Queensland,11018,Clarence R,543-535-013,,19/10/1948,Labour,F,14847,BMW,3,18is,1998.0,56600.0,1.9L,MULTI POINT F/INJ,65L,103Kw,5.0,4A,4D SEDAN,RWD,2700mm
29,27/07/2005,27/07/2005,19,Wollongong_Store,244 Rivewview,543-535-0137,Wollongong,New South Wales,12/08/2005,3,Darlinghurst_Store,5844 Linden Land,543-535-0184,Darlinghurst,New South Wales,11051,Daniel J,543-535-015,,14/08/1955,Labour,F,14846,BMW,X5,E53 3.0i,2004.0,84000.0,3.0L,MULTI POINT F/INJ,93L,170Kw,5.0,5AS,4D WAGON,4WD,2820mm
30,29/07/2005,29/07/2005,29,Findon_Store,9111 Rose Ann Ave,543-535-0116,Findon,South Australia,18/08/2005,9,Milsons Point_Store,624 Peabody Road,543-535-0164,Milsons Point ,New South Wales,11016,Wyatt H,135-535-017,,07/04/1983,Labour,M,14858,BMW,3,E36 28i,1996.0,83330.0,2.8L,MULTI POINT F/INJ,65L,142Kw,5.0,5A,4D SEDAN,RWD,2700mm
31,30/07/2005,30/07/2005,30,Perth_Store,6385 Mark Twain,543-535-0146,Perth ,South Australia,20/08/2005,10,Newcastle_Store,3839 Northgate Road,543-535-0110,Newcastle ,New South Wales,11016,Wyatt H,135-535-017,,07/04/1983,Labour,M,14860,BMW,3,18i,1997.0,51320.0,1.8L,ELECTRONIC F/INJ,65L,85Kw,5.0,4A,4D SEDAN,RWD,2700mm
32,31/07/2005,31/07/2005,21,Caloundra_Store,7156 Rose Dr.,550-535-0163,Caloundra ,Queensland,24/08/2005,24,Hawthorne_Store,4499 Valley Crest,452-535-0188,Hawthorne ,Queensland,11012,Lauren W,717-535-016,,07/01/1972,Labour,F,14831,BMW,X5,E53 3.0d,2004.0,84500.0,3.0L,TURBO CDI,93L,150Kw,5.0,6A,4D WAGON,4WD,2820mm
33,01/08/2005,04/08/2005,21,Caloundra_Store,7156 Rose Dr.,550-535-0163,Caloundra ,Queensland,06/08/2005,21,Caloundra_Store,7156 Rose Dr.,550-535-0163,Caloundra ,Queensland,11015,Chloe Y,208-535-014,,27/02/1983,Labour,F,14832,BMW,3,E46 18i EXECUTIVE,2002.0,56550.0,2.0L,MULTI POINT F/INJ,63L,105Kw,5.0,5AS,4D SEDAN,RWD,2725mm
34,02/08/2005,02/08/2005,33,Cranbourne_Store,626 Bentley Street,543-535-0169,Cranbourne,Victoria,07/08/2005,15,Silverwater_Store,9011 Tank Drive,431-535-0156,Silverwater ,New South Wales,11019,Luke L,262-535-011,,17/03/1982,Labour,M,14833,BMW,3,23i,1996.0,62550.0,2.5L,MULTI POINT F/INJ,62L,125Kw,5.0,5M,4D SEDAN,RWD,2700mm
35,03/08/2005,03/08/2005,21,Caloundra_Store,7156 Rose Dr.,550-535-0163,Caloundra ,Queensland,24/08/2005,21,Caloundra_Store,7156 Rose Dr.,550-535-0163,Caloundra ,Queensland,11057,Carl A,543-535-018,,22/10/1957,Labour,F,14834,BMW,3,E46 30Ci,2001.0,109050.0,3.0L,MULTI POINT F/INJ,63L,170Kw,5.0,5AS,2D CONVERTIBLE,RWD,2725mm
36,04/08/2005,04/08/2005,35,Melbourne_Store,5167 Condor Place,543-535-0136,Melbourne ,Victoria,13/08/2005,35,Melbourne_Store,5167 Condor Place,543-535-0136,Melbourne ,Victoria,11056,Michele N,543-535-017,,13/04/1957,Labour,M,14835,BMW,7,35i EXECUTIVE,1987.0,136500.0,3.4L,ELECTRONIC F/INJ,90L,155Kw,5.0,4A,4D SEDAN,RWD,2833mm
37,05/08/2005,05/08/2005,23,Gold Coast_Store,1769 Nicholas Drive,589-535-0185,Gold Coast,Queensland,26/08/2005,23,Gold Coast_Store,1769 Nicholas Drive,589-535-0185,Gold Coast,Queensland,11057,Carl A,543-535-018,,22/10/1957,Labour,F,14836,BMW,5,E60 25i,2005.0,89000.0,2.5L,MULTI POINT F/INJ,70L,141Kw,5.0,6AS,4D SEDAN,RWD,2888mm
38,06/08/2005,06/08/2005,37,Seaford_Store,3981 Augustine Drive,115-535-0183,Seaford ,Victoria,15/08/2005,37,Seaford_Store,3981 Augustine Drive,115-535-0183,Seaford ,Victoria,11013,Ian J,817-535-018,,16/08/1972,Labour,M,14837,BMW,3,E91 23i TOURING,2006.0,71500.0,2.5L,MULTI POINT F/INJ,60L,130Kw,5.0,6AS,4D WAGON,RWD,2760mm
39,07/08/2005,07/08/2005,25,Hervey Bay_Store,8734 Oxford Place,746-535-0186,Hervey Bay,Queensland,28/08/2005,25,Hervey Bay_Store,8734 Oxford Place,746-535-0186,Hervey Bay,Queensland,11012,Lauren W,717-535-016,,07/01/1972,Labour,F,14838,BMW,5,E34 25i EXECUTIVE,1996.0,98200.0,2.5L,ELECTRONIC F/INJ,80L,141Kw,5.0,5A,4D SEDAN,RWD,2761mm
40,08/08/2005,08/08/2005,39,Sunbury_Store,8357 Sandy Cove Lane,543-535-0114,Sunbury ,Victoria,16/08/2005,9,Milsons Point_Store,624 Peabody Road,543-535-0164,Milsons Point ,New South Wales,11014,Sydney B,431-535-015,,19/05/1972,Labour,M,14839,BMW,3,E36 16i OPEN AIR,1995.0,46200.0,1.6L,MULTI POINT F/INJ,52L,75Kw,5.0,5M,3D HATCHBACK,RWD,2700mm
41,09/08/2005,10/08/2005,40,Warrnambool_Store,9353 Creekside Dr.,543-535-0183,Warrnambool ,Victoria,21/09/2005,15,Silverwater_Store,9011 Tank Drive,431-535-0156,Silverwater ,New South Wales,11013,Ian J,817-535-018,,16/08/1972,Labour,M,14880,BMW,5,20i,1991.0,69100.0,2.0L,ELECTRONIC F/INJ,80L,110Kw,5.0,5A,4D SEDAN,RWD,2761mm
42,10/08/2005,10/08/2005,1,Alexandria_stroe,3761 N. 14th St,543-535-0162,Alexandria,New South Wales,19/08/2005,1,Alexandria_stroe,3761 N. 14th St,543-535-0162,Alexandria,New South Wales,11016,Wyatt H,135-535-017,,07/04/1983,Labour,M,14842,BMW,3,E90 20i EXECUTIVE,2005.0,57200.0,2.0L,MULTI POINT F/INJ,65L,110Kw,5.0,6AS,4D SEDAN,RWD,2760mm
43,11/08/2005,14/08/2005,13,Port Macquarie_Store,4785 Scott Street,717-535-0164,Port Macquarie,New South Wales,16/08/2005,13,Port Macquarie_Store,4785 Scott Street,717-535-0164,Port Macquarie,New South Wales,11015,Chloe Y,208-535-014,,27/02/1983,Labour,F,14855,BMW,3,E46 20Ci,2001.0,67050.0,2.2L,MULTI POINT F/INJ,63L,125Kw,5.0,5AS,2D COUPE,RWD,2725mm
44,12/08/2005,12/08/2005,3,Darlinghurst_Store,5844 Linden Land,543-535-0184,Darlinghurst,New South Wales,17/08/2005,10,Newcastle_Store,3839 Northgate Road,543-535-0110,Newcastle ,New South Wales,11059,Ashlee A,543-535-011,,11/04/1958,Labour,F,14846,BMW,X5,E53 3.0i,2004.0,84000.0,3.0L,MULTI POINT F/INJ,93L,170Kw,5.0,5AS,4D WAGON,4WD,2820mm
45,13/08/2005,16/08/2005,15,Silverwater_Store,9011 Tank Drive,431-535-0156,Silverwater ,New South Wales,28/08/2005,19,Wollongong_Store,244 Rivewview,543-535-0137,Wollongong,New South Wales,11051,Daniel J,543-535-015,,14/08/1955,Labour,F,14859,BMW,5,28i,1997.0,96500.0,2.8L,MULTI POINT F/INJ,70L,142Kw,5.0,5AS,4D SEDAN,RWD,2830mm
46,14/08/2005,14/08/2005,5,Lane Cove_Store,7553 Harness Circle,543-535-0131,Lane Cove ,New South Wales,23/08/2005,5,Lane Cove_Store,7553 Harness Circle,543-535-0131,Lane Cove ,New South Wales,11053,Ana P,859-535-011,,20/08/1984,Labour,M,14850,BMW,7,35i,1984.0,59500.0,3.2L,ELECTRONIC F/INJ,100L,145Kw,5.0,4A,4D SEDAN,RWD,2795mm
47,15/08/2005,15/08/2005,17,St. Leonards_Store,9666 Northridge Ct.,135-535-0171,St. Leonards,New South Wales,01/09/2005,23,Gold Coast_Store,1769 Nicholas Drive,589-535-0185,Gold Coast,Queensland,11051,Daniel J,543-535-015,,14/08/1955,Labour,F,14863,BMW,X5,E53 3.0i,2001.0,82350.0,3.0L,MULTI POINT F/INJ,93L,170Kw,5.0,5AS,4D WAGON,4WD,2820mm
48,16/08/2005,16/08/2005,7,Malabar_Store,2612 Berry Dr,543-535-0184,Malabar ,New South Wales,24/08/2005,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,11053,Ana P,859-535-011,,20/08/1984,Labour,M,14854,BMW,3,20i,1989.0,54700.0,2.0L,ELECTRONIC F/INJ,65L,95Kw,5.0,5M,4D SEDAN,RWD,2570mm
49,17/08/2005,18/08/2005,22,East Brisbane_Store,8148 W. Lake Dr.,622-535-0158,East Brisbane ,Queensland,08/09/2005,30,Perth_Store,6385 Mark Twain,543-535-0146,Perth ,South Australia,11017,Shannon W,543-535-019,,26/06/1948,Labour,M,14870,BMW,3,23Ci,1999.0,73900.0,2.5L,MULTI POINT F/INJ,63L,125Kw,5.0,5M,2D COUPE,RWD,2725mm
50,18/08/2005,18/08/2005,9,Milsons Point_Store,624 Peabody Road,543-535-0164,Milsons Point ,New South Wales,27/08/2005,18,Sydney_Store,7330 Saddlehill Lane,543-535-0195,Sydney,New South Wales,11053,Ana P,859-535-011,,20/08/1984,Labour,M,14858,BMW,3,E36 28i,1996.0,83330.0,2.8L,MULTI POINT F/INJ,65L,142Kw,5.0,5A,4D SEDAN,RWD,2700mm
51,19/08/2005,20/08/2005,10,Newcastle_Store,3839 Northgate Road,543-535-0110,Newcastle ,New South Wales,29/08/2005,11,North Ryde_Store,7800 Corrinne Court,543-535-0169,North Ryde,New South Wales,11050,Alan Z,543-535-013,,17/09/1955,Labour,F,14860,BMW,3,18i,1997.0,51320.0,1.8L,ELECTRONIC F/INJ,65L,85Kw,5.0,4A,4D SEDAN,RWD,2700mm
52,20/08/2005,21/08/2005,22,East Brisbane_Store,8148 W. Lake Dr.,622-535-0158,East Brisbane ,Queensland,25/08/2005,22,East Brisbane_Store,8148 W. Lake Dr.,622-535-0158,East Brisbane ,Queensland,11015,Chloe Y,208-535-014,,27/02/1983,Labour,F,14851,BMW,3,E46 20i SPORT,2005.0,65300.0,2.2L,MULTI POINT F/INJ,63L,125Kw,5.0,5AS,4D SEDAN,RWD,2725mm
53,21/08/2005,21/08/2005,23,Gold Coast_Store,1769 Nicholas Drive,589-535-0185,Gold Coast,Queensland,07/09/2005,16,Springwood_Store,244 Willow Pass Road,208-535-0142,Springwood,New South Wales,11015,Chloe Y,208-535-014,,27/02/1983,Labour,F,14852,BMW,3,E46 16ti,2002.0,43869.0,1.8L,MULTI POINT F/INJ,63L,85Kw,5.0,5AS,3D HATCHBACK,RWD,2725mm
54,22/08/2005,22/08/2005,9,Milsons Point_Store,624 Peabody Road,543-535-0164,Milsons Point ,New South Wales,10/09/2005,9,Milsons Point_Store,624 Peabody Road,543-535-0164,Milsons Point ,New South Wales,11018,Clarence R,543-535-013,,19/10/1948,Labour,F,14853,BMW,1,E87 20i,2005.0,44100.0,2.0L,MULTI POINT F/INJ,50L,110Kw,5.0,6A,5D HATCHBACK,RWD,2660mm
55,23/08/2005,24/08/2005,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,12/09/2005,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,11053,Ana P,859-535-011,,20/08/1984,Labour,M,14854,BMW,3,20i,1989.0,54700.0,2.0L,ELECTRONIC F/INJ,65L,95Kw,5.0,5M,4D SEDAN,RWD,2570mm
56,24/08/2005,24/08/2005,24,Hawthorne_Store,4499 Valley Crest,452-535-0188,Hawthorne ,Queensland,15/09/2005,24,Hawthorne_Store,4499 Valley Crest,452-535-0188,Hawthorne ,Queensland,11012,Lauren W,717-535-016,,07/01/1972,Labour,F,14831,BMW,X5,E53 3.0d,2004.0,84500.0,3.0L,TURBO CDI,93L,150Kw,5.0,6A,4D WAGON,4WD,2820mm
57,25/08/2005,26/08/2005,16,Springwood_Store,244 Willow Pass Road,208-535-0142,Springwood,New South Wales,10/09/2005,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,11019,Luke L,262-535-011,,17/03/1982,Labour,M,14856,BMW,3,25i,1988.0,74500.0,2.5L,ELECTRONIC F/INJ,55L,125Kw,5.0,4A,4D SEDAN,RWD,2570mm
58,26/08/2005,26/08/2005,13,Port Macquarie_Store,4785 Scott Street,717-535-0164,Port Macquarie,New South Wales,14/09/2005,13,Port Macquarie_Store,4785 Scott Street,717-535-0164,Port Macquarie,New South Wales,11018,Clarence R,543-535-013,,19/10/1948,Labour,F,14857,BMW,3,E46 18i SPORT,2005.0,54500.0,2.0L,MULTI POINT F/INJ,63L,105Kw,5.0,5M,4D SEDAN,RWD,2725mm
59,27/08/2005,27/08/2005,18,Sydney_Store,7330 Saddlehill Lane,543-535-0195,Sydney,New South Wales,12/09/2005,18,Sydney_Store,7330 Saddlehill Lane,543-535-0195,Sydney,New South Wales,11011,Curtis L,543-535-011,,14/11/1967,Labour,M,14858,BMW,3,E36 28i,1996.0,83330.0,2.8L,MULTI POINT F/INJ,65L,142Kw,5.0,5A,4D SEDAN,RWD,2700mm
60,28/08/2005,28/08/2005,19,Wollongong_Store,244 Rivewview,543-535-0137,Wollongong,New South Wales,13/09/2005,9,Milsons Point_Store,624 Peabody Road,543-535-0164,Milsons Point ,New South Wales,11019,Luke L,262-535-011,,17/03/1982,Labour,M,14859,BMW,5,28i,1997.0,96500.0,2.8L,MULTI POINT F/INJ,70L,142Kw,5.0,5AS,4D SEDAN,RWD,2830mm
61,29/08/2005,29/08/2005,11,North Ryde_Store,7800 Corrinne Court,543-535-0169,North Ryde,New South Wales,10/09/2005,11,North Ryde_Store,7800 Corrinne Court,543-535-0169,North Ryde,New South Wales,11012,Lauren W,717-535-016,,07/01/1972,Labour,F,14860,BMW,3,18i,1997.0,51320.0,1.8L,ELECTRONIC F/INJ,65L,85Kw,5.0,4A,4D SEDAN,RWD,2700mm
63,30/08/2005,30/08/2005,17,St. Leonards_Store,9666 Northridge Ct.,135-535-0171,St. Leonards,New South Wales,18/09/2005,21,Caloundra_Store,7156 Rose Dr.,550-535-0163,Caloundra ,Queensland,11054,Deanna M,543-535-019,,20/03/1956,Labour,M,14861,BMW,3,18is,1997.0,55100.0,1.9L,MULTI POINT F/INJ,65L,103Kw,5.0,5M,4D SEDAN,RWD,2700mm
64,01/09/2005,01/09/2005,23,Gold Coast_Store,1769 Nicholas Drive,589-535-0185,Gold Coast,Queensland,10/09/2005,23,Gold Coast_Store,1769 Nicholas Drive,589-535-0185,Gold Coast,Queensland,11053,Ana P,859-535-011,,20/08/1984,Labour,M,14863,BMW,X5,E53 3.0i,2001.0,82350.0,3.0L,MULTI POINT F/INJ,93L,170Kw,5.0,5AS,4D WAGON,4WD,2820mm
65,02/09/2005,02/09/2005,17,St. Leonards_Store,9666 Northridge Ct.,135-535-0171,St. Leonards,New South Wales,23/09/2005,17,St. Leonards_Store,9666 Northridge Ct.,135-535-0171,St. Leonards,New South Wales,11052,Heidi L,543-535-016,,17/08/1955,Labour,F,14864,BMW,1,E87 20d,2006.0,47800.0,2.0L,DIESEL TURBO F/INJ,51L,115Kw,5.0,6A,5D HATCHBACK,RWD,2660mm
66,03/09/2005,03/09/2005,18,Sydney_Store,7330 Saddlehill Lane,543-535-0195,Sydney,New South Wales,11/09/2005,25,Hervey Bay_Store,8734 Oxford Place,746-535-0186,Hervey Bay,Queensland,11054,Deanna M,543-535-019,,20/03/1956,Labour,M,14865,BMW,3,E46 18i EXECUTIVE,2000.0,52070.0,1.9L,MULTI POINT F/INJ,63L,87Kw,5.0,5M,4D SEDAN,RWD,2725mm
67,04/09/2005,05/09/2005,26,Rockhampton_Store,2596 Franklin Canyon Road,543-535-0178,Rockhampton ,Queensland,13/09/2005,26,Rockhampton_Store,2596 Franklin Canyon Road,543-535-0178,Rockhampton ,Queensland,11056,Michele N,543-535-017,,13/04/1957,Labour,M,14866,BMW,X5,E53 3.0i,2006.0,84000.0,3.0L,MULTI POINT F/INJ,93L,170Kw,5.0,5AS,4D WAGON,4WD,2820mm
68,05/09/2005,05/09/2005,27,Townsville_Store,8211 Leeds Ct.,543-535-0131,Townsville,Queensland,10/09/2005,27,Townsville_Store,8211 Leeds Ct.,543-535-0131,Townsville,Queensland,11011,Curtis L,543-535-011,,14/11/1967,Labour,M,14867,BMW,3,18i,1995.0,49650.0,1.8L,ELECTRONIC F/INJ,65L,85Kw,5.0,5M,4D SEDAN,RWD,2700mm
69,06/09/2005,07/09/2005,16,Springwood_Store,244 Willow Pass Road,208-535-0142,Springwood,New South Wales,07/09/2005,17,St. Leonards_Store,9666 Northridge Ct.,135-535-0171,St. Leonards,New South Wales,11057,Carl A,543-535-018,,22/10/1957,Labour,F,14852,BMW,3,E46 16ti,2002.0,43869.0,1.8L,MULTI POINT F/INJ,63L,85Kw,5.0,5AS,3D HATCHBACK,RWD,2725mm
70,07/09/2005,07/09/2005,17,St. Leonards_Store,9666 Northridge Ct.,135-535-0171,St. Leonards,New South Wales,28/09/2005,17,St. Leonards_Store,9666 Northridge Ct.,135-535-0171,St. Leonards,New South Wales,11057,Carl A,543-535-018,,22/10/1957,Labour,F,14852,BMW,3,E46 16ti,2002.0,43869.0,1.8L,MULTI POINT F/INJ,63L,85Kw,5.0,5AS,3D HATCHBACK,RWD,2725mm
71,08/09/2005,08/09/2005,30,Perth_Store,6385 Mark Twain,543-535-0146,Perth ,South Australia,13/09/2005,30,Perth_Store,6385 Mark Twain,543-535-0146,Perth ,South Australia,11055,Gilbert R,543-535-012,,15/03/1956,Labour,F,14870,BMW,3,23Ci,1999.0,73900.0,2.5L,MULTI POINT F/INJ,63L,125Kw,5.0,5M,2D COUPE,RWD,2725mm
